name,naming_series,customer,posting_date,company
DN-DEMO-000001,MAT-DN-.YYYY.-,Lahore General District Hospital 13,2024-03-12,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000002,MAT-DN-.YYYY.-,Gulab Devi Teaching Hospital 20,2024-03-13,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000003,MAT-DN-.YYYY.-,National Medical Center 54,2024-03-14,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000004,MAT-DN-.YYYY.-,Sheikh Zayed Medical Center 41,2024-03-15,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000005,MAT-DN-.YYYY.-,Agha Khan Lab Medical Center 53,2024-03-18,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000006,MAT-DN-.YYYY.-,Social Security Medical Center 43,2024-03-18,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000007,MAT-DN-.YYYY.-,Ghurki Trust Medical Center 42,2024-03-19,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000008,MAT-DN-.YYYY.-,Sir Ganga Ram Teaching Hospital 21,2024-03-20,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000009,MAT-DN-.YYYY.-,National Medical Center 48,2024-03-20,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000010,MAT-DN-.YYYY.-,Services Tertiary Hospital 03,2024-03-20,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000011,MAT-DN-.YYYY.-,Lady Aitchison Specialist Clinic 31,2024-03-21,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000012,MAT-DN-.YYYY.-,Citi Lab Medical Center 38,2024-03-21,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000013,MAT-DN-.YYYY.-,Punjab District Hospital 12,2024-03-21,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000014,MAT-DN-.YYYY.-,Sharif Medical Private Hospital 23,2024-03-22,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000015,MAT-DN-.YYYY.-,Doctors Private Hospital 25,2024-03-23,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000016,MAT-DN-.YYYY.-,City Care Tertiary Hospital 06,2024-03-24,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000017,MAT-DN-.YYYY.-,Agha Khan Lab Medical Center 53,2024-03-25,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000018,MAT-DN-.YYYY.-,Surgimed Medical Center 44,2024-03-26,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000019,MAT-DN-.YYYY.-,Hameed Latif District Hospital 15,2024-03-28,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000020,MAT-DN-.YYYY.-,Allied Teaching Hospital 18,2024-04-01,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000021,MAT-DN-.YYYY.-,Mayo Tertiary Hospital 01,2024-04-03,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000022,MAT-DN-.YYYY.-,Punjab District Hospital 12,2024-04-04,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000023,MAT-DN-.YYYY.-,Hafeez Diagnostic Laboratory 27,2024-04-05,EnXi Biomedical & Waste Management (Pvt) Ltd
