parent,parenttype,parentfield,item_code,qty,uom,warehouse,rate
DN-DEMO-000001,Delivery Note,items,BIO-00286,1,Nos,Central Warehouse - ENXI,1391837
DN-DEMO-000002,Delivery Note,items,BIO-00472,2,Nos,Central Warehouse - ENXI,1308634
DN-DEMO-000003,Delivery Note,items,BIO-00167,1,Nos,Central Warehouse - ENXI,2920486
DN-DEMO-000004,Delivery Note,items,BIO-00366,1,Nos,Central Warehouse - ENXI,2183100
DN-DEMO-000005,Delivery Note,items,BIO-00092,4,Nos,Central Warehouse - ENXI,369158
DN-DEMO-000006,Delivery Note,items,BIO-00467,1,Nos,Central Warehouse - ENXI,163923
DN-DEMO-000007,Delivery Note,items,BIO-00103,3,Nos,Central Warehouse - ENXI,1657806
DN-DEMO-000008,Delivery Note,items,BIO-00362,3,Nos,Central Warehouse - ENXI,810169
DN-DEMO-000009,Delivery Note,items,BIO-00342,5,Nos,Central Warehouse - ENXI,785800
DN-DEMO-000010,Delivery Note,items,BIO-00371,2,Nos,Central Warehouse - ENXI,1064442
DN-DEMO-000011,Delivery Note,items,BIO-00196,4,Nos,Central Warehouse - ENXI,1865220
DN-DEMO-000012,Delivery Note,items,BIO-00386,4,Nos,Central Warehouse - ENXI,2566365
DN-DEMO-000013,Delivery Note,items,BIO-00443,2,Nos,Central Warehouse - ENXI,2440113
DN-DEMO-000014,Delivery Note,items,BIO-00120,2,Nos,Central Warehouse - ENXI,2303429
DN-DEMO-000015,Delivery Note,items,BIO-00048,5,Nos,Central Warehouse - ENXI,1098778
DN-DEMO-000016,Delivery Note,items,BIO-00474,1,Nos,Central Warehouse - ENXI,2671911
DN-DEMO-000017,Delivery Note,items,BIO-00324,2,Nos,Central Warehouse - ENXI,2603617
DN-DEMO-000018,Delivery Note,items,BIO-00009,5,Nos,Central Warehouse - ENXI,3376290
DN-DEMO-000019,Delivery Note,items,BIO-00448,3,Nos,Central Warehouse - ENXI,581907
DN-DEMO-000020,Delivery Note,items,BIO-00381,2,Nos,Central Warehouse - ENXI,1283360
DN-DEMO-000021,Delivery Note,items,BIO-00194,4,Nos,Central Warehouse - ENXI,2874224
DN-DEMO-000022,Delivery Note,items,BIO-00309,2,Nos,Central Warehouse - ENXI,1183128
DN-DEMO-000023,Delivery Note,items,BIO-00098,2,Nos,Central Warehouse - ENXI,3430413
DN-DEMO-000024,Delivery Note,items,BIO-00392,5,Nos,Central Warehouse - ENXI,2309882
DN-DEMO-000025,Delivery Note,items,BIO-00118,2,Nos,Central Warehouse - ENXI,1129422
DN-DEMO-000026,Delivery Note,items,BIO-00288,3,Nos,Central Warehouse - ENXI,480031
DN-DEMO-000027,Delivery Note,items,BIO-00316,4,Nos,Central Warehouse - ENXI,1879471
DN-DEMO-000028,Delivery Note,items,BIO-00131,1,Nos,Central Warehouse - ENXI,2179575
DN-DEMO-000029,Delivery Note,items,BIO-00444,3,Nos,Central Warehouse - ENXI,3455503
DN-DEMO-000030,Delivery Note,items,BIO-00090,3,Nos,Central Warehouse - ENXI,1094756
DN-DEMO-000031,Delivery Note,items,BIO-00334,2,Nos,Central Warehouse - ENXI,1659434
DN-DEMO-000032,Delivery Note,items,BIO-00069,5,Nos,Central Warehouse - ENXI,1433153
DN-DEMO-000033,Delivery Note,items,BIO-00011,4,Nos,Central Warehouse - ENXI,1178219
DN-DEMO-000034,Delivery Note,items,BIO-00175,1,Nos,Central Warehouse - ENXI,2472704
DN-DEMO-000035,Delivery Note,items,BIO-00084,5,Nos,Central Warehouse - ENXI,2707517
DN-DEMO-000036,Delivery Note,items,BIO-00460,5,Nos,Central Warehouse - ENXI,1615388
DN-DEMO-000037,Delivery Note,items,BIO-00140,4,Nos,Central Warehouse - ENXI,2698934
DN-DEMO-000038,Delivery Note,items,BIO-00128,5,Nos,Central Warehouse - ENXI,1840632
DN-DEMO-000039,Delivery Note,items,BIO-00356,4,Nos,Central Warehouse - ENXI,1238578
DN-DEMO-000040,Delivery Note,items,BIO-00108,3,Nos,Central Warehouse - ENXI,2570523
DN-DEMO-000041,Delivery Note,items,BIO-00476,4,Nos,Central Warehouse - ENXI,1748095
DN-DEMO-000042,Delivery Note,items,BIO-00023,3,Nos,Central Warehouse - ENXI,1970600
DN-DEMO-000043,Delivery Note,items,BIO-00457,5,Nos,Central Warehouse - ENXI,2243762
DN-DEMO-000044,Delivery Note,items,BIO-00003,1,Nos,Central Warehouse - ENXI,3246152
DN-DEMO-000045,Delivery Note,items,BIO-00455,5,Nos,Central Warehouse - ENXI,1476998
DN-DEMO-000046,Delivery Note,items,BIO-00070,5,Nos,Central Warehouse - ENXI,2183469
DN-DEMO-000047,Delivery Note,items,BIO-00109,3,Nos,Central Warehouse - ENXI,1244545
DN-DEMO-000048,Delivery Note,items,BIO-00420,5,Nos,Central Warehouse - ENXI,2755561
DN-DEMO-000049,Delivery Note,items,BIO-00388,4,Nos,Central Warehouse - ENXI,2215707
DN-DEMO-000050,Delivery Note,items,WC-LNR-RED,4,Nos,Central Warehouse - ENXI,2520624
DN-DEMO-000051,Delivery Note,items,BIO-00359,5,Nos,Central Warehouse - ENXI,1133028
DN-DEMO-000052,Delivery Note,items,BIO-00009,4,Nos,Central Warehouse - ENXI,2989352
DN-DEMO-000053,Delivery Note,items,BIO-00281,1,Nos,Central Warehouse - ENXI,1867099
DN-DEMO-000054,Delivery Note,items,BIO-00027,1,Nos,Central Warehouse - ENXI,1144135
DN-DEMO-000055,Delivery Note,items,BIO-00272,1,Nos,Central Warehouse - ENXI,388872
DN-DEMO-000056,Delivery Note,items,BIO-00435,2,Nos,Central Warehouse - ENXI,3398819
DN-DEMO-000057,Delivery Note,items,BIO-00134,4,Nos,Central Warehouse - ENXI,480457
DN-DEMO-000058,Delivery Note,items,SPR-00001,4,Nos,Central Warehouse - ENXI,1553643
DN-DEMO-000059,Delivery Note,items,BIO-00268,3,Nos,Central Warehouse - ENXI,50216
DN-DEMO-000060,Delivery Note,items,BIO-00174,1,Nos,Central Warehouse - ENXI,2326750
DN-DEMO-000061,Delivery Note,items,BIO-00305,4,Nos,Central Warehouse - ENXI,133897
DN-DEMO-000062,Delivery Note,items,BIO-00050,4,Nos,Central Warehouse - ENXI,2111059
DN-DEMO-000063,Delivery Note,items,BIO-00150,3,Nos,Central Warehouse - ENXI,2411288
DN-DEMO-000064,Delivery Note,items,BIO-00396,2,Nos,Central Warehouse - ENXI,907358
DN-DEMO-000065,Delivery Note,items,BIO-00402,2,Nos,Central Warehouse - ENXI,1593241
DN-DEMO-000066,Delivery Note,items,BIO-00374,4,Nos,Central Warehouse - ENXI,2463753
DN-DEMO-000067,Delivery Note,items,BIO-00168,1,Nos,Central Warehouse - ENXI,1217018
DN-DEMO-000068,Delivery Note,items,BIO-00435,1,Nos,Central Warehouse - ENXI,2758316
DN-DEMO-000069,Delivery Note,items,BIO-00447,4,Nos,Central Warehouse - ENXI,1763492
DN-DEMO-000070,Delivery Note,items,BIO-00409,5,Nos,Central Warehouse - ENXI,3367643
DN-DEMO-000071,Delivery Note,items,BIO-00295,3,Nos,Central Warehouse - ENXI,1353869
DN-DEMO-000072,Delivery Note,items,BIO-00070,3,Nos,Central Warehouse - ENXI,796366
DN-DEMO-000073,Delivery Note,items,BIO-00334,4,Nos,Central Warehouse - ENXI,352413
DN-DEMO-000074,Delivery Note,items,BIO-00472,5,Nos,Central Warehouse - ENXI,2515526
DN-DEMO-000075,Delivery Note,items,BIO-00170,4,Nos,Central Warehouse - ENXI,571652
DN-DEMO-000076,Delivery Note,items,BIO-00018,2,Nos,Central Warehouse - ENXI,1435959
DN-DEMO-000077,Delivery Note,items,BIO-00488,2,Nos,Central Warehouse - ENXI,2310382
DN-DEMO-000078,Delivery Note,items,BIO-00493,4,Nos,Central Warehouse - ENXI,1844459
DN-DEMO-000079,Delivery Note,items,BIO-00089,4,Nos,Central Warehouse - ENXI,1311875
DN-DEMO-000080,Delivery Note,items,BIO-00451,1,Nos,Central Warehouse - ENXI,2688993
DN-DEMO-000081,Delivery Note,items,BIO-00436,2,Nos,Central Warehouse - ENXI,2219721
DN-DEMO-000082,Delivery Note,items,BIO-00148,5,Nos,Central Warehouse - ENXI,1075481
DN-DEMO-000083,Delivery Note,items,BIO-00430,4,Nos,Central Warehouse - ENXI,2395822
DN-DEMO-000084,Delivery Note,items,BIO-00390,4,Nos,Central Warehouse - ENXI,871506
DN-DEMO-000085,Delivery Note,items,BIO-00309,3,Nos,Central Warehouse - ENXI,975828
DN-DEMO-000086,Delivery Note,items,BIO-00415,1,Nos,Central Warehouse - ENXI,141165
DN-DEMO-000087,Delivery Note,items,BIO-00041,2,Nos,Central Warehouse - ENXI,1892452
DN-DEMO-000088,Delivery Note,items,BIO-00342,4,Nos,Central Warehouse - ENXI,2571121
DN-DEMO-000089,Delivery Note,items,BIO-00044,5,Nos,Central Warehouse - ENXI,2770099
DN-DEMO-000090,Delivery Note,items,BIO-00001,3,Nos,Central Warehouse - ENXI,2745680
DN-DEMO-000091,Delivery Note,items,BIO-00487,3,Nos,Central Warehouse - ENXI,668365
DN-DEMO-000092,Delivery Note,items,BIO-00297,4,Nos,Central Warehouse - ENXI,1519173
