parent,parenttype,parentfield,customer,address,visited,distance,estimated_arrival
DT-DEMO-000001,Delivery Trip,delivery_stops,Ghurki Trust Specialized Hospital 31,ADDR-0061,1,2.7,2023-03-01T10:30:00
DT-DEMO-000001,Delivery Trip,delivery_stops,One Health Lab 117,ADDR-0197,1,11.6,2023-03-01T11:00:00
DT-DEMO-000001,Delivery Trip,delivery_stops,Prime Teaching Hospital 14,ADDR-0027,1,24.3,2023-03-01T11:30:00
DT-DEMO-000001,Delivery Trip,delivery_stops,Qamar Lab 120,ADDR-0200,1,20.5,2023-03-01T12:00:00
DT-DEMO-000001,Delivery Trip,delivery_stops,Punjab Diagnostic Center 113,ADDR-0193,1,7.0,2023-03-01T12:30:00
DT-DEMO-000002,Delivery Trip,delivery_stops,Medicare Clinic 110,ADDR-0190,1,8.3,2023-03-02T06:30:00
DT-DEMO-000002,Delivery Trip,delivery_stops,Sharif Medical Teaching Hospital 62,ADDR-0123,1,18.3,2023-03-02T07:00:00
DT-DEMO-000002,Delivery Trip,delivery_stops,Jinnah Tertiary Hospital 67,ADDR-0133,1,8.8,2023-03-02T07:30:00
DT-DEMO-000003,Delivery Trip,delivery_stops,Shaukat Khanum Teaching Hospital 72,ADDR-0143,1,21.9,2023-03-02T10:30:00
DT-DEMO-000003,Delivery Trip,delivery_stops,Al-Razi Clinic,ADDR-0169,1,20.2,2023-03-02T11:00:00
DT-DEMO-000003,Delivery Trip,delivery_stops,Agha Khan Lab Lahore 115,ADDR-0195,1,15.4,2023-03-02T11:30:00
DT-DEMO-000003,Delivery Trip,delivery_stops,Doctors Teaching Hospital 35,ADDR-0069,1,4.1,2023-03-02T12:00:00
DT-DEMO-000004,Delivery Trip,delivery_stops,Primary & Secondary Healthcare Dept,ADDR-0204,1,21.1,2023-03-02T09:30:00
DT-DEMO-000004,Delivery Trip,delivery_stops,Shalimar General Hospital 47,ADDR-0093,1,15.2,2023-03-02T10:00:00
DT-DEMO-000004,Delivery Trip,delivery_stops,Rehman Diagnostics,ADDR-0178,1,24.3,2023-03-02T10:30:00
DT-DEMO-000004,Delivery Trip,delivery_stops,IDC Lab,ADDR-0163,1,11.6,2023-03-02T11:00:00
DT-DEMO-000005,Delivery Trip,delivery_stops,IDC Lab 103,ADDR-0183,1,3.9,2023-03-04T05:30:00
DT-DEMO-000005,Delivery Trip,delivery_stops,Sir Ganga Ram District Hospital 08,ADDR-0015,1,10.4,2023-03-04T06:00:00
DT-DEMO-000005,Delivery Trip,delivery_stops,Lahore General Tertiary Hospital 27,ADDR-0053,1,14.5,2023-03-04T06:30:00
DT-DEMO-000005,Delivery Trip,delivery_stops,Jinnah Tertiary Hospital 15,ADDR-0029,1,17.8,2023-03-04T07:00:00
DT-DEMO-000005,Delivery Trip,delivery_stops,Prime Teaching Hospital 14,ADDR-0027,1,17.1,2023-03-04T07:30:00
DT-DEMO-000006,Delivery Trip,delivery_stops,Ghurki Trust Specialized Hospital 48,ADDR-0095,1,6.3,2023-03-05T07:30:00
