designation
CEO
COO
CFO
Director Operations
Director Compliance
Regional Manager
Branch Manager
Operations Manager
Waste Operations Supervisor
Route Coordinator
Dispatcher
Waste Collector
Waste Handler
Driver
Helper
Incinerator Operator
Incinerator Supervisor
Maintenance Technician
Compliance Officer
Environmental Officer
Safety Officer
Training Coordinator
Trainer
Quality Inspector
Fleet Manager
Fleet Supervisor
Mechanic
Janitorial Supervisor
Janitor
Sanitation Worker
Finance Manager
Accountant
Accounts Officer
HR Manager
HR Officer
Admin Officer
IT Officer
Procurement Officer
Store Keeper
Biomedical Engineer
Service Technician
Sales Executive
Customer Support Officer
Data Entry Operator
