parent,parenttype,parentfield,item_code,start_date,end_date,periodicity,no_of_visits
MS-DEMO-000001,Maintenance Schedule,items,BIO-00270,2023-03-02,2024-03-01,Quarterly,4
MS-DEMO-000002,Maintenance Schedule,items,BIO-00197,2023-03-11,2024-03-10,Half Yearly,10
MS-DEMO-000003,Maintenance Schedule,items,BIO-00109,2023-03-12,2024-03-11,Yearly,2
MS-DEMO-000004,Maintenance Schedule,items,BIO-00156,2023-03-12,2024-03-11,Quarterly,10
MS-DEMO-000005,Maintenance Schedule,items,BIO-00219,2023-03-18,2024-03-17,Yearly,3
MS-DEMO-000006,Maintenance Schedule,items,BIO-00105,2023-03-21,2024-03-20,Monthly,11
MS-DEMO-000007,Maintenance Schedule,items,BIO-00427,2023-03-26,2024-03-25,Quarterly,6
MS-DEMO-000008,Maintenance Schedule,items,BIO-00389,2023-03-26,2024-03-25,Half Yearly,3
MS-DEMO-000009,Maintenance Schedule,items,BIO-00368,2023-03-28,2024-03-27,Monthly,4
MS-DEMO-000010,Maintenance Schedule,items,BIO-00355,2023-04-03,2024-04-02,Yearly,5
MS-DEMO-000011,Maintenance Schedule,items,BIO-00287,2023-04-03,2024-04-02,Yearly,8
MS-DEMO-000012,Maintenance Schedule,items,BIO-00404,2023-04-04,2024-04-03,Quarterly,5
MS-DEMO-000013,Maintenance Schedule,items,BIO-00365,2023-04-13,2024-04-12,Half Yearly,5
MS-DEMO-000014,Maintenance Schedule,items,BIO-00068,2023-04-20,2024-04-19,Yearly,8
MS-DEMO-000015,Maintenance Schedule,items,BIO-00244,2023-04-24,2024-04-23,Half Yearly,10
MS-DEMO-000016,Maintenance Schedule,items,BIO-00317,2023-04-28,2024-04-27,Monthly,9
MS-DEMO-000017,Maintenance Schedule,items,BIO-00080,2023-05-03,2024-05-02,Half Yearly,10
MS-DEMO-000018,Maintenance Schedule,items,BIO-00440,2023-05-16,2024-05-15,Quarterly,7
MS-DEMO-000019,Maintenance Schedule,items,BIO-00065,2023-05-17,2024-05-16,Yearly,12
MS-DEMO-000020,Maintenance Schedule,items,BIO-00401,2023-05-19,2024-05-18,Quarterly,12
MS-DEMO-000021,Maintenance Schedule,items,BIO-00073,2023-05-20,2024-05-19,Quarterly,12
MS-DEMO-000022,Maintenance Schedule,items,BIO-00117,2023-05-22,2024-05-21,Monthly,5
MS-DEMO-000023,Maintenance Schedule,items,BIO-00367,2023-06-02,2024-06-01,Half Yearly,2
MS-DEMO-000024,Maintenance Schedule,items,BIO-00303,2023-06-05,2024-06-04,Yearly,4
MS-DEMO-000025,Maintenance Schedule,items,BIO-00056,2023-06-07,2024-06-06,Half Yearly,11
