parent,parenttype,parentfield,item_code,work_done
MV-DEMO-000001,Maintenance Visit,purposes,BIO-00273,Replaced faulty sensor. Calibration performed.
MV-DEMO-000002,Maintenance Visit,purposes,BIO-00112,Replaced faulty sensor. Calibration performed.
MV-DEMO-000003,Maintenance Visit,purposes,BIO-00146,Software update applied. Functionality verified.
MV-DEMO-000004,Maintenance Visit,purposes,BIO-00477,Emergency repair - power supply unit replaced.
MV-DEMO-000005,Maintenance Visit,purposes,BIO-00139,Annual calibration performed. Certificate issued.
MV-DEMO-000006,Maintenance Visit,purposes,BIO-00040,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000007,Maintenance Visit,purposes,BIO-00362,Software update applied. Functionality verified.
MV-DEMO-000008,Maintenance Visit,purposes,BIO-00396,Software update applied. Functionality verified.
MV-DEMO-000009,Maintenance Visit,purposes,BIO-00351,Battery replaced. Full diagnostic run completed.
MV-DEMO-000010,Maintenance Visit,purposes,BIO-00388,Annual calibration performed. Certificate issued.
MV-DEMO-000011,Maintenance Visit,purposes,BIO-00326,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000012,Maintenance Visit,purposes,BIO-00387,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000013,Maintenance Visit,purposes,BIO-00453,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000014,Maintenance Visit,purposes,BIO-00406,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000015,Maintenance Visit,purposes,BIO-00373,Battery replaced. Full diagnostic run completed.
MV-DEMO-000016,Maintenance Visit,purposes,BIO-00293,Emergency repair - power supply unit replaced.
MV-DEMO-000017,Maintenance Visit,purposes,BIO-00401,Battery replaced. Full diagnostic run completed.
MV-DEMO-000018,Maintenance Visit,purposes,BIO-00459,Emergency repair - power supply unit replaced.
MV-DEMO-000019,Maintenance Visit,purposes,BIO-00123,Annual calibration performed. Certificate issued.
MV-DEMO-000020,Maintenance Visit,purposes,BIO-00162,Annual calibration performed. Certificate issued.
MV-DEMO-000021,Maintenance Visit,purposes,BIO-00401,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000022,Maintenance Visit,purposes,BIO-00313,Battery replaced. Full diagnostic run completed.
MV-DEMO-000023,Maintenance Visit,purposes,BIO-00174,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000024,Maintenance Visit,purposes,BIO-00167,Emergency repair - power supply unit replaced.
MV-DEMO-000025,Maintenance Visit,purposes,BIO-00438,Battery replaced. Full diagnostic run completed.
MV-DEMO-000026,Maintenance Visit,purposes,BIO-00275,Software update applied. Functionality verified.
MV-DEMO-000027,Maintenance Visit,purposes,BIO-00395,Emergency repair - power supply unit replaced.
MV-DEMO-000028,Maintenance Visit,purposes,BIO-00158,Replaced faulty sensor. Calibration performed.
MV-DEMO-000029,Maintenance Visit,purposes,BIO-00037,Software update applied. Functionality verified.
MV-DEMO-000030,Maintenance Visit,purposes,BIO-00285,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000031,Maintenance Visit,purposes,BIO-00439,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000032,Maintenance Visit,purposes,BIO-00451,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000033,Maintenance Visit,purposes,BIO-00477,Annual calibration performed. Certificate issued.
MV-DEMO-000034,Maintenance Visit,purposes,BIO-00319,Battery replaced. Full diagnostic run completed.
MV-DEMO-000035,Maintenance Visit,purposes,BIO-00174,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000036,Maintenance Visit,purposes,BIO-00292,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000037,Maintenance Visit,purposes,BIO-00056,Replaced faulty sensor. Calibration performed.
MV-DEMO-000038,Maintenance Visit,purposes,BIO-00440,Replaced faulty sensor. Calibration performed.
MV-DEMO-000039,Maintenance Visit,purposes,BIO-00001,Software update applied. Functionality verified.
MV-DEMO-000040,Maintenance Visit,purposes,BIO-00314,Replaced faulty sensor. Calibration performed.
MV-DEMO-000041,Maintenance Visit,purposes,BIO-00117,Emergency repair - power supply unit replaced.
MV-DEMO-000042,Maintenance Visit,purposes,BIO-00031,Battery replaced. Full diagnostic run completed.
MV-DEMO-000043,Maintenance Visit,purposes,BIO-00450,Emergency repair - power supply unit replaced.
MV-DEMO-000044,Maintenance Visit,purposes,BIO-00191,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000045,Maintenance Visit,purposes,BIO-00270,Annual calibration performed. Certificate issued.
MV-DEMO-000046,Maintenance Visit,purposes,BIO-00134,Replaced faulty sensor. Calibration performed.
MV-DEMO-000047,Maintenance Visit,purposes,BIO-00035,Software update applied. Functionality verified.
MV-DEMO-000048,Maintenance Visit,purposes,BIO-00070,Software update applied. Functionality verified.
MV-DEMO-000049,Maintenance Visit,purposes,BIO-00311,Replaced faulty sensor. Calibration performed.
MV-DEMO-000050,Maintenance Visit,purposes,BIO-00127,Emergency repair - power supply unit replaced.
MV-DEMO-000051,Maintenance Visit,purposes,BIO-00435,Software update applied. Functionality verified.
MV-DEMO-000052,Maintenance Visit,purposes,BIO-00333,Emergency repair - power supply unit replaced.
MV-DEMO-000053,Maintenance Visit,purposes,BIO-00374,Emergency repair - power supply unit replaced.
MV-DEMO-000054,Maintenance Visit,purposes,BIO-00166,Emergency repair - power supply unit replaced.
MV-DEMO-000055,Maintenance Visit,purposes,BIO-00453,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000056,Maintenance Visit,purposes,BIO-00118,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000057,Maintenance Visit,purposes,BIO-00312,Battery replaced. Full diagnostic run completed.
MV-DEMO-000058,Maintenance Visit,purposes,BIO-00295,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000059,Maintenance Visit,purposes,BIO-00436,Emergency repair - power supply unit replaced.
MV-DEMO-000060,Maintenance Visit,purposes,BIO-00368,Replaced faulty sensor. Calibration performed.
MV-DEMO-000061,Maintenance Visit,purposes,BIO-00412,Battery replaced. Full diagnostic run completed.
MV-DEMO-000062,Maintenance Visit,purposes,BIO-00463,Software update applied. Functionality verified.
MV-DEMO-000063,Maintenance Visit,purposes,BIO-00029,Replaced faulty sensor. Calibration performed.
MV-DEMO-000064,Maintenance Visit,purposes,BIO-00014,Annual calibration performed. Certificate issued.
MV-DEMO-000065,Maintenance Visit,purposes,BIO-00391,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000066,Maintenance Visit,purposes,BIO-00434,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000067,Maintenance Visit,purposes,BIO-00183,Software update applied. Functionality verified.
MV-DEMO-000068,Maintenance Visit,purposes,BIO-00009,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000069,Maintenance Visit,purposes,BIO-00045,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000070,Maintenance Visit,purposes,BIO-00200,Replaced faulty sensor. Calibration performed.
MV-DEMO-000071,Maintenance Visit,purposes,BIO-00160,Annual calibration performed. Certificate issued.
MV-DEMO-000072,Maintenance Visit,purposes,BIO-00337,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000073,Maintenance Visit,purposes,BIO-00177,Battery replaced. Full diagnostic run completed.
MV-DEMO-000074,Maintenance Visit,purposes,BIO-00179,Annual calibration performed. Certificate issued.
MV-DEMO-000075,Maintenance Visit,purposes,BIO-00275,Software update applied. Functionality verified.
MV-DEMO-000076,Maintenance Visit,purposes,BIO-00478,Software update applied. Functionality verified.
MV-DEMO-000077,Maintenance Visit,purposes,BIO-00463,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000078,Maintenance Visit,purposes,BIO-00489,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000079,Maintenance Visit,purposes,BIO-00186,Annual calibration performed. Certificate issued.
MV-DEMO-000080,Maintenance Visit,purposes,BIO-00115,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000081,Maintenance Visit,purposes,BIO-00451,Replaced faulty sensor. Calibration performed.
MV-DEMO-000082,Maintenance Visit,purposes,BIO-00088,Software update applied. Functionality verified.
MV-DEMO-000083,Maintenance Visit,purposes,BIO-00302,Annual calibration performed. Certificate issued.
MV-DEMO-000084,Maintenance Visit,purposes,BIO-00405,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000085,Maintenance Visit,purposes,BIO-00081,Annual calibration performed. Certificate issued.
MV-DEMO-000086,Maintenance Visit,purposes,BIO-00141,Battery replaced. Full diagnostic run completed.
MV-DEMO-000087,Maintenance Visit,purposes,BIO-00083,Replaced faulty sensor. Calibration performed.
MV-DEMO-000088,Maintenance Visit,purposes,BIO-00131,Emergency repair - power supply unit replaced.
MV-DEMO-000089,Maintenance Visit,purposes,BIO-00031,Annual calibration performed. Certificate issued.
MV-DEMO-000090,Maintenance Visit,purposes,BIO-00020,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000091,Maintenance Visit,purposes,BIO-00135,Annual calibration performed. Certificate issued.
MV-DEMO-000092,Maintenance Visit,purposes,BIO-00433,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000093,Maintenance Visit,purposes,BIO-00280,Battery replaced. Full diagnostic run completed.
MV-DEMO-000094,Maintenance Visit,purposes,BIO-00164,Replaced faulty sensor. Calibration performed.
MV-DEMO-000095,Maintenance Visit,purposes,BIO-00430,Replaced faulty sensor. Calibration performed.
MV-DEMO-000096,Maintenance Visit,purposes,BIO-00429,Replaced faulty sensor. Calibration performed.
MV-DEMO-000097,Maintenance Visit,purposes,BIO-00146,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000098,Maintenance Visit,purposes,BIO-00438,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000099,Maintenance Visit,purposes,BIO-00139,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000100,Maintenance Visit,purposes,BIO-00012,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000101,Maintenance Visit,purposes,BIO-00135,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000102,Maintenance Visit,purposes,BIO-00374,Cleaned and lubricated moving parts. Tested OK.
