parent,parenttype,parentfield,item_code,qty,uom,rate
OPP-DEMO-000001,Opportunity,items,SVC-TRN-009,3,Nos,41416
OPP-DEMO-000002,Opportunity,items,SVC-CHEM,1,Kg,20064
OPP-DEMO-000003,Opportunity,items,SVC-JAN-002,3,Nos,35614
OPP-DEMO-000004,Opportunity,items,SVC-PATH,8,Kg,28364
OPP-DEMO-000005,Opportunity,items,SVC-PHRM,12,Kg,14702
OPP-DEMO-000006,Opportunity,items,SVC-CYTO,5,Kg,16839
OPP-DEMO-000007,Opportunity,items,SVC-CYTO,10,Kg,5270
OPP-DEMO-000008,Opportunity,items,SVC-JAN-001,8,Nos,49361
OPP-DEMO-000009,Opportunity,items,SVC-JAN-003,11,Nos,49606
OPP-DEMO-000010,Opportunity,items,SVC-PHRM,6,Kg,15077
OPP-DEMO-000011,Opportunity,items,SVC-TRN-009,8,Nos,46179
OPP-DEMO-000012,Opportunity,items,SVC-PATH,11,Kg,45787
OPP-DEMO-000013,Opportunity,items,SVC-CHEM,4,Kg,8190
OPP-DEMO-000014,Opportunity,items,SVC-SHRP,9,Kg,44471
OPP-DEMO-000015,Opportunity,items,SVC-JAN-002,3,Nos,20733
OPP-DEMO-000016,Opportunity,items,SVC-CYTO,3,Kg,30460
OPP-DEMO-000017,Opportunity,items,SVC-PHRM,5,Kg,37168
OPP-DEMO-000018,Opportunity,items,SVC-CHEM,6,Kg,48615
OPP-DEMO-000019,Opportunity,items,SVC-CYTO,8,Kg,34192
OPP-DEMO-000020,Opportunity,items,SVC-TRN-007,2,Nos,32691
OPP-DEMO-000021,Opportunity,items,SVC-TRN-007,2,Nos,7650
OPP-DEMO-000022,Opportunity,items,SVC-CHEM,8,Kg,39555
OPP-DEMO-000023,Opportunity,items,SVC-TRN-007,2,Nos,36300
OPP-DEMO-000024,Opportunity,items,SVC-JAN-003,4,Nos,39281
OPP-DEMO-000025,Opportunity,items,SVC-PATH,9,Kg,10015
OPP-DEMO-000026,Opportunity,items,SVC-TRN-010,7,Nos,32067
OPP-DEMO-000027,Opportunity,items,SVC-JAN-002,6,Nos,21702
OPP-DEMO-000028,Opportunity,items,SVC-PHRM,12,Kg,48357
OPP-DEMO-000029,Opportunity,items,SVC-JAN-006,1,Nos,10458
OPP-DEMO-000030,Opportunity,items,SVC-TRN-008,11,Nos,34487
OPP-DEMO-000031,Opportunity,items,SVC-CYTO,3,Kg,10126
OPP-DEMO-000032,Opportunity,items,SVC-TRN-011,1,Nos,5383
OPP-DEMO-000033,Opportunity,items,SVC-GEN,11,Kg,36268
OPP-DEMO-000034,Opportunity,items,SVC-TRN-009,5,Nos,45533
OPP-DEMO-000035,Opportunity,items,SVC-SHRP,3,Kg,13854
OPP-DEMO-000036,Opportunity,items,SVC-INF,12,Kg,17335
OPP-DEMO-000037,Opportunity,items,SVC-CHEM,11,Kg,20845
OPP-DEMO-000038,Opportunity,items,SVC-SHRP,5,Kg,35371
OPP-DEMO-000039,Opportunity,items,SVC-INF,2,Kg,15885
OPP-DEMO-000040,Opportunity,items,SVC-TRN-009,1,Nos,34459
OPP-DEMO-000041,Opportunity,items,SVC-JAN-006,1,Nos,26879
OPP-DEMO-000042,Opportunity,items,SVC-TRN-007,8,Nos,42923
