name,naming_series,supplier,posting_date,due_date,company
PI-DEMO-000001,ACC-PINV-.YYYY.-,Ravi Engineering Works,2024-03-14,2024-04-28,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000002,ACC-PINV-.YYYY.-,National Chemical Corp,2024-03-14,2024-04-28,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000003,ACC-PINV-.YYYY.-,Metropolitan Steel Works,2024-03-20,2024-04-19,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000004,ACC-PINV-.YYYY.-,National Environmental Lab,2024-03-22,2024-05-06,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000005,ACC-PINV-.YYYY.-,Pharma Waste Solutions,2024-03-23,2024-05-07,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000006,ACC-PINV-.YYYY.-,Atlas Honda Parts,2024-04-11,2024-05-11,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000007,ACC-PINV-.YYYY.-,Metropolitan Steel Works,2024-04-14,2024-05-14,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000008,ACC-PINV-.YYYY.-,Hino Pakistan Motors,2024-04-18,2024-05-18,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000009,ACC-PINV-.YYYY.-,Ravi Engineering Works,2024-04-24,2024-06-08,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000010,ACC-PINV-.YYYY.-,Shell Pakistan,2024-04-24,2024-05-24,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000011,ACC-PINV-.YYYY.-,Lahore Container Works,2024-04-25,2024-06-09,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000012,ACC-PINV-.YYYY.-,National Chemical Corp,2024-04-30,2024-05-30,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000013,ACC-PINV-.YYYY.-,Eco-Disposal Systems,2024-05-03,2024-07-02,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000014,ACC-PINV-.YYYY.-,Safety First PPE,2024-05-04,2024-06-18,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000015,ACC-PINV-.YYYY.-,Punjab Auto Parts,2024-05-05,2024-07-04,EnXi Biomedical & Waste Management (Pvt) Ltd
