parent,parenttype,parentfield,item_code,qty,uom,warehouse,rate
PI-DEMO-000001,Purchase Invoice,items,PPE-GOG-001,9,Nos,Central Warehouse - ENXI,1912738
PI-DEMO-000002,Purchase Invoice,items,BIO-00071,2,Nos,Central Warehouse - ENXI,1047231
PI-DEMO-000003,Purchase Invoice,items,BIO-00342,19,Nos,Central Warehouse - ENXI,389262
PI-DEMO-000004,Purchase Invoice,items,BIO-00362,22,Nos,Central Warehouse - ENXI,91525
PI-DEMO-000005,Purchase Invoice,items,BIO-00192,21,Nos,Central Warehouse - ENXI,425306
PI-DEMO-000006,Purchase Invoice,items,BIO-00163,29,Nos,Central Warehouse - ENXI,2296169
PI-DEMO-000007,Purchase Invoice,items,BIO-00297,3,Nos,Central Warehouse - ENXI,2625748
PI-DEMO-000008,Purchase Invoice,items,BIO-00486,6,Nos,Central Warehouse - ENXI,779822
PI-DEMO-000009,Purchase Invoice,items,BIO-00479,14,Nos,Central Warehouse - ENXI,1723338
PI-DEMO-000010,Purchase Invoice,items,BIO-00456,16,Nos,Central Warehouse - ENXI,2817470
PI-DEMO-000011,Purchase Invoice,items,BIO-00066,7,Nos,Central Warehouse - ENXI,858047
PI-DEMO-000012,Purchase Invoice,items,SPR-00006,2,Nos,Central Warehouse - ENXI,2120329
PI-DEMO-000013,Purchase Invoice,items,BIO-00440,16,Nos,Central Warehouse - ENXI,181768
PI-DEMO-000014,Purchase Invoice,items,BIO-00078,5,Nos,Central Warehouse - ENXI,2530247
PI-DEMO-000015,Purchase Invoice,items,BIO-00137,12,Nos,Central Warehouse - ENXI,1926222
PI-DEMO-000016,Purchase Invoice,items,BIO-00444,25,Nos,Central Warehouse - ENXI,1705187
PI-DEMO-000017,Purchase Invoice,items,BIO-00325,1,Nos,Central Warehouse - ENXI,1400358
PI-DEMO-000018,Purchase Invoice,items,BIO-00010,23,Nos,Central Warehouse - ENXI,756273
PI-DEMO-000019,Purchase Invoice,items,BIO-00336,14,Nos,Central Warehouse - ENXI,401821
PI-DEMO-000020,Purchase Invoice,items,BIO-00111,11,Nos,Central Warehouse - ENXI,2113591
PI-DEMO-000021,Purchase Invoice,items,BIO-00160,28,Nos,Central Warehouse - ENXI,26668
PI-DEMO-000022,Purchase Invoice,items,BIO-00393,29,Nos,Central Warehouse - ENXI,1536791
PI-DEMO-000023,Purchase Invoice,items,BIO-00021,14,Nos,Central Warehouse - ENXI,322667
PI-DEMO-000024,Purchase Invoice,items,BIO-00403,5,Nos,Central Warehouse - ENXI,587424
PI-DEMO-000025,Purchase Invoice,items,BIO-00300,19,Nos,Central Warehouse - ENXI,1912156
PI-DEMO-000026,Purchase Invoice,items,BIO-00430,30,Nos,Central Warehouse - ENXI,844252
PI-DEMO-000027,Purchase Invoice,items,BIO-00145,15,Nos,Central Warehouse - ENXI,1003805
PI-DEMO-000028,Purchase Invoice,items,BIO-00146,8,Nos,Central Warehouse - ENXI,347304
PI-DEMO-000029,Purchase Invoice,items,BIO-00145,8,Nos,Central Warehouse - ENXI,365356
PI-DEMO-000030,Purchase Invoice,items,WC-CHM-050,14,Nos,Central Warehouse - ENXI,1474336
PI-DEMO-000031,Purchase Invoice,items,BIO-00090,8,Nos,Central Warehouse - ENXI,844588
PI-DEMO-000032,Purchase Invoice,items,BIO-00482,14,Nos,Central Warehouse - ENXI,1492845
PI-DEMO-000033,Purchase Invoice,items,BIO-00012,14,Nos,Central Warehouse - ENXI,610963
PI-DEMO-000034,Purchase Invoice,items,BIO-00167,11,Nos,Central Warehouse - ENXI,1419735
PI-DEMO-000035,Purchase Invoice,items,INC-FLT-EMI,5,Nos,Central Warehouse - ENXI,227575
PI-DEMO-000036,Purchase Invoice,items,BIO-00341,29,Nos,Central Warehouse - ENXI,1984696
PI-DEMO-000037,Purchase Invoice,items,INC-BRK-REF,24,Nos,Central Warehouse - ENXI,1317869
PI-DEMO-000038,Purchase Invoice,items,BIO-00004,29,Nos,Central Warehouse - ENXI,1494706
PI-DEMO-000039,Purchase Invoice,items,BIO-00268,2,Nos,Central Warehouse - ENXI,1788388
PI-DEMO-000040,Purchase Invoice,items,INC-ELC-IGN,3,Nos,Central Warehouse - ENXI,298287
PI-DEMO-000041,Purchase Invoice,items,BIO-00376,17,Nos,Central Warehouse - ENXI,383480
PI-DEMO-000042,Purchase Invoice,items,BIO-00464,23,Nos,Central Warehouse - ENXI,2512167
PI-DEMO-000043,Purchase Invoice,items,BIO-00124,12,Nos,Central Warehouse - ENXI,787449
PI-DEMO-000044,Purchase Invoice,items,BIO-00489,8,Nos,Central Warehouse - ENXI,70536
PI-DEMO-000045,Purchase Invoice,items,BIO-00290,10,Nos,Central Warehouse - ENXI,2444779
PI-DEMO-000046,Purchase Invoice,items,BIO-00464,28,Nos,Central Warehouse - ENXI,1756250
PI-DEMO-000047,Purchase Invoice,items,BIO-00437,2,Nos,Central Warehouse - ENXI,1855896
PI-DEMO-000048,Purchase Invoice,items,BIO-00075,28,Nos,Central Warehouse - ENXI,454629
PI-DEMO-000049,Purchase Invoice,items,BIO-00017,5,Nos,Central Warehouse - ENXI,1138874
PI-DEMO-000050,Purchase Invoice,items,BIO-00368,9,Nos,Central Warehouse - ENXI,1729664
PI-DEMO-000051,Purchase Invoice,items,BIO-00340,30,Nos,Central Warehouse - ENXI,2869860
PI-DEMO-000052,Purchase Invoice,items,BIO-00057,19,Nos,Central Warehouse - ENXI,103469
PI-DEMO-000053,Purchase Invoice,items,BIO-00018,10,Nos,Central Warehouse - ENXI,289168
PI-DEMO-000054,Purchase Invoice,items,BIO-00382,10,Nos,Central Warehouse - ENXI,2283766
PI-DEMO-000055,Purchase Invoice,items,BIO-00417,11,Nos,Central Warehouse - ENXI,413749
PI-DEMO-000056,Purchase Invoice,items,BIO-00114,7,Nos,Central Warehouse - ENXI,1193499
PI-DEMO-000057,Purchase Invoice,items,BIO-00389,8,Nos,Central Warehouse - ENXI,941158
PI-DEMO-000058,Purchase Invoice,items,BIO-00410,8,Nos,Central Warehouse - ENXI,27818
PI-DEMO-000059,Purchase Invoice,items,BIO-00381,25,Nos,Central Warehouse - ENXI,1545281
PI-DEMO-000060,Purchase Invoice,items,VPT-FLT-AIR,23,Nos,Central Warehouse - ENXI,222526
PI-DEMO-000061,Purchase Invoice,items,BIO-00438,18,Nos,Central Warehouse - ENXI,1182489
PI-DEMO-000062,Purchase Invoice,items,BIO-00413,9,Nos,Central Warehouse - ENXI,978977
PI-DEMO-000063,Purchase Invoice,items,BIO-00017,21,Nos,Central Warehouse - ENXI,2713206
PI-DEMO-000064,Purchase Invoice,items,BIO-00421,15,Nos,Central Warehouse - ENXI,45479
PI-DEMO-000065,Purchase Invoice,items,BIO-00032,4,Nos,Central Warehouse - ENXI,771984
PI-DEMO-000066,Purchase Invoice,items,BIO-00377,28,Nos,Central Warehouse - ENXI,2611030
PI-DEMO-000067,Purchase Invoice,items,BIO-00479,22,Nos,Central Warehouse - ENXI,939918
PI-DEMO-000068,Purchase Invoice,items,BIO-00438,19,Nos,Central Warehouse - ENXI,1974761
PI-DEMO-000069,Purchase Invoice,items,BIO-00347,27,Nos,Central Warehouse - ENXI,2261552
PI-DEMO-000070,Purchase Invoice,items,BIO-00289,4,Nos,Central Warehouse - ENXI,1904769
PI-DEMO-000071,Purchase Invoice,items,PPE-GWN-DIS,12,Nos,Central Warehouse - ENXI,154892
PI-DEMO-000072,Purchase Invoice,items,BIO-00049,16,Nos,Central Warehouse - ENXI,993521
PI-DEMO-000073,Purchase Invoice,items,BIO-00409,23,Nos,Central Warehouse - ENXI,290701
PI-DEMO-000074,Purchase Invoice,items,BIO-00178,24,Nos,Central Warehouse - ENXI,1523383
PI-DEMO-000075,Purchase Invoice,items,BIO-00329,25,Nos,Central Warehouse - ENXI,2299801
PI-DEMO-000076,Purchase Invoice,items,BIO-00386,21,Nos,Central Warehouse - ENXI,309352
PI-DEMO-000077,Purchase Invoice,items,BIO-00109,29,Nos,Central Warehouse - ENXI,1576689
