name,naming_series,supplier,posting_date,company
PR-DEMO-000001,MAT-PRE-.YYYY.-,Metro Fuel Distributors,2023-03-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000002,MAT-PRE-.YYYY.-,Meezan Bank Leasing,2023-03-05,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000003,MAT-PRE-.YYYY.-,General Tyre Pakistan,2023-03-08,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000004,MAT-PRE-.YYYY.-,Ravi Engineering Works,2023-03-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000005,MAT-PRE-.YYYY.-,CleanTech Supplies,2023-03-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000006,MAT-PRE-.YYYY.-,Pakistan Oxygen Ltd,2023-03-15,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000007,MAT-PRE-.YYYY.-,Shell Lubricants Pakistan,2023-03-16,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000008,MAT-PRE-.YYYY.-,Metro Fuel Distributors,2023-03-17,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000009,MAT-PRE-.YYYY.-,Adamjee Insurance,2023-03-21,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000010,MAT-PRE-.YYYY.-,Ernst & Young Pakistan,2023-03-21,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000011,MAT-PRE-.YYYY.-,Adamjee Insurance,2023-03-23,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000012,MAT-PRE-.YYYY.-,SafeHands PPE,2023-03-24,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000013,MAT-PRE-.YYYY.-,Ernst & Young Pakistan,2023-03-27,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000014,MAT-PRE-.YYYY.-,Refractory Solutions Pvt,2023-03-27,EnXi Biomedical & Waste Management (Pvt) Ltd
