name,naming_series,customer,posting_date,due_date,company
SI-DEMO-000001,ACC-SINV-.YYYY.-,Central Park Tertiary Hospital 05,2024-03-12,2024-04-26,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000002,ACC-SINV-.YYYY.-,Services Tertiary Hospital 03,2024-03-13,2024-05-12,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000003,ACC-SINV-.YYYY.-,Children Medical Center 46,2024-03-13,2024-03-28,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000004,ACC-SINV-.YYYY.-,Lady Aitchison Specialist Clinic 31,2024-03-13,2024-03-28,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000005,ACC-SINV-.YYYY.-,Ghurki Trust Medical Center 45,2024-03-13,2024-04-27,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000006,ACC-SINV-.YYYY.-,Sheikh Zayed Medical Center 41,2024-03-14,2024-05-13,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000007,ACC-SINV-.YYYY.-,Lady Aitchison Specialist Clinic 31,2024-03-15,2024-05-14,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000008,ACC-SINV-.YYYY.-,Sharif Medical Private Hospital 23,2024-03-16,2024-03-31,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000009,ACC-SINV-.YYYY.-,Children Medical Center 46,2024-03-16,2024-04-30,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000010,ACC-SINV-.YYYY.-,Medix District Hospital 11,2024-03-16,2024-03-31,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000011,ACC-SINV-.YYYY.-,Surgimed Diagnostic Laboratory 26,2024-03-17,2024-05-16,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000012,ACC-SINV-.YYYY.-,Prime Tertiary Hospital 10,2024-03-18,2024-04-17,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000013,ACC-SINV-.YYYY.-,Central Park Tertiary Hospital 05,2024-03-18,2024-04-02,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000014,ACC-SINV-.YYYY.-,Sharif Medical Private Hospital 23,2024-03-19,2024-05-18,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000015,ACC-SINV-.YYYY.-,Children Maternity Hospital 30,2024-03-21,2024-04-20,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000016,ACC-SINV-.YYYY.-,Wapda Teaching Medical Center 55,2024-03-21,2024-05-05,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000017,ACC-SINV-.YYYY.-,Sheikh Zayed Medical Center 37,2024-03-24,2024-04-23,EnXi Biomedical & Waste Management (Pvt) Ltd
