parent,parenttype,parentfield,item_code,qty,uom,rate
SI-DEMO-000001,Sales Invoice,items,BIO-00103,2,Nos,1916604
SI-DEMO-000001,Sales Invoice,items,BIO-00182,42,Nos,325131
SI-DEMO-000002,Sales Invoice,items,BIO-00248,4,Nos,1180520
SI-DEMO-000003,Sales Invoice,items,BIO-00393,10,Nos,113530
SI-DEMO-000004,Sales Invoice,items,BIO-00214,10,Nos,209260
SI-DEMO-000004,Sales Invoice,items,BIO-00225,14,Nos,451271
SI-DEMO-000005,Sales Invoice,items,BIO-00366,7,Nos,1027886
SI-DEMO-000005,Sales Invoice,items,BIO-00327,9,Nos,116358
SI-DEMO-000006,Sales Invoice,items,BIO-00279,2,Nos,507155
SI-DEMO-000007,Sales Invoice,items,BIO-00322,3,Nos,458578
SI-DEMO-000008,Sales Invoice,items,SVC-TRN-007,3,Nos,587
SI-DEMO-000009,Sales Invoice,items,BIO-00364,3,Nos,2616358
SI-DEMO-000009,Sales Invoice,items,BIO-00088,32,Nos,218284
SI-DEMO-000010,Sales Invoice,items,BIO-00259,2,Nos,1682641
SI-DEMO-000011,Sales Invoice,items,BIO-00280,2,Nos,2606181
SI-DEMO-000011,Sales Invoice,items,BIO-00101,10,Nos,322356
SI-DEMO-000012,Sales Invoice,items,BIO-00389,10,Nos,1373479
SI-DEMO-000012,Sales Invoice,items,BIO-00403,24,Nos,110872
SI-DEMO-000013,Sales Invoice,items,BIO-00220,6,Nos,1041987
SI-DEMO-000014,Sales Invoice,items,BIO-00396,6,Nos,1309834
SI-DEMO-000015,Sales Invoice,items,BIO-00396,1,Nos,2907697
SI-DEMO-000016,Sales Invoice,items,BIO-00435,8,Nos,1876950
SI-DEMO-000016,Sales Invoice,items,BIO-00455,36,Nos,225976
SI-DEMO-000017,Sales Invoice,items,BIO-00068,3,Nos,2253830
SI-DEMO-000017,Sales Invoice,items,BIO-00226,11,Nos,287995
SI-DEMO-000018,Sales Invoice,items,BIO-00128,3,Nos,1579519
SI-DEMO-000019,Sales Invoice,items,BIO-00296,5,Nos,1814192
SI-DEMO-000020,Sales Invoice,items,BIO-00101,4,Nos,686067
SI-DEMO-000021,Sales Invoice,items,BIO-00110,4,Nos,1820280
SI-DEMO-000022,Sales Invoice,items,BIO-00291,3,Nos,334661
SI-DEMO-000022,Sales Invoice,items,BIO-00082,22,Nos,154935
SI-DEMO-000023,Sales Invoice,items,BIO-00445,5,Nos,2276211
SI-DEMO-000024,Sales Invoice,items,BIO-00161,5,Nos,1957853
SI-DEMO-000025,Sales Invoice,items,BIO-00188,5,Nos,906061
SI-DEMO-000025,Sales Invoice,items,SVC-PATH,30,Kg,502
SI-DEMO-000026,Sales Invoice,items,BIO-00226,6,Nos,2904933
SI-DEMO-000026,Sales Invoice,items,BIO-00208,12,Nos,114732
SI-DEMO-000027,Sales Invoice,items,BIO-00166,5,Nos,1258703
SI-DEMO-000028,Sales Invoice,items,BIO-00401,2,Nos,1574547
SI-DEMO-000029,Sales Invoice,items,SVC-SHRP,1385,Kg,713
SI-DEMO-000030,Sales Invoice,items,BIO-00191,8,Nos,1111612
SI-DEMO-000030,Sales Invoice,items,BIO-00307,8,Nos,412137
SI-DEMO-000031,Sales Invoice,items,SVC-TRN-008,7,Nos,588
SI-DEMO-000031,Sales Invoice,items,BIO-00434,1,Nos,374928
SI-DEMO-000032,Sales Invoice,items,BIO-00117,1,Nos,790172
SI-DEMO-000032,Sales Invoice,items,BIO-00366,29,Nos,437597
SI-DEMO-000033,Sales Invoice,items,BIO-00161,5,Nos,2574561
SI-DEMO-000034,Sales Invoice,items,BIO-00173,5,Nos,2177622
SI-DEMO-000035,Sales Invoice,items,BIO-00088,3,Nos,1466691
SI-DEMO-000036,Sales Invoice,items,BIO-00194,9,Nos,1787485
SI-DEMO-000036,Sales Invoice,items,CNT-020,36,Nos,451919
SI-DEMO-000037,Sales Invoice,items,SVC-JAN-004,9,Nos,635
SI-DEMO-000038,Sales Invoice,items,BIO-00116,10,Nos,156024
SI-DEMO-000039,Sales Invoice,items,BIO-00349,1,Nos,487420
SI-DEMO-000040,Sales Invoice,items,BIO-00129,6,Nos,2669277
SI-DEMO-000041,Sales Invoice,items,BIO-00137,3,Nos,213204
SI-DEMO-000042,Sales Invoice,items,BIO-00114,2,Nos,1326824
SI-DEMO-000042,Sales Invoice,items,BIO-00436,11,Nos,353618
SI-DEMO-000043,Sales Invoice,items,BIO-00335,3,Nos,2359814
SI-DEMO-000044,Sales Invoice,items,BIO-00199,5,Nos,2573415
SI-DEMO-000045,Sales Invoice,items,BIO-00433,4,Nos,147387
SI-DEMO-000045,Sales Invoice,items,BIO-00116,4,Nos,158102
SI-DEMO-000046,Sales Invoice,items,BIO-00271,1,Nos,2697059
SI-DEMO-000046,Sales Invoice,items,BIO-00275,35,Nos,405852
SI-DEMO-000047,Sales Invoice,items,BIO-00083,1,Nos,1461090
SI-DEMO-000048,Sales Invoice,items,BIO-00179,1,Nos,1603980
SI-DEMO-000049,Sales Invoice,items,BIO-00374,9,Nos,214651
SI-DEMO-000049,Sales Invoice,items,BIO-00212,50,Nos,45178
SI-DEMO-000050,Sales Invoice,items,BIO-00359,7,Nos,2145041
SI-DEMO-000051,Sales Invoice,items,BIO-00322,10,Nos,2451874
SI-DEMO-000052,Sales Invoice,items,BIO-00085,8,Nos,436176
SI-DEMO-000052,Sales Invoice,items,BIO-00327,4,Nos,471842
SI-DEMO-000053,Sales Invoice,items,BIO-00180,8,Nos,2105592
SI-DEMO-000053,Sales Invoice,items,BIO-00093,23,Nos,366372
SI-DEMO-000054,Sales Invoice,items,BIO-00103,10,Nos,1330769
SI-DEMO-000055,Sales Invoice,items,BIO-00295,4,Nos,2897306
SI-DEMO-000055,Sales Invoice,items,BIO-00146,9,Nos,367293
SI-DEMO-000056,Sales Invoice,items,BIO-00350,2,Nos,2061208
SI-DEMO-000056,Sales Invoice,items,BIO-00365,12,Nos,452091
SI-DEMO-000057,Sales Invoice,items,BIO-00440,2,Nos,2038830
SI-DEMO-000058,Sales Invoice,items,BIO-00372,8,Nos,2752368
SI-DEMO-000058,Sales Invoice,items,BIO-00268,39,Nos,47295
SI-DEMO-000059,Sales Invoice,items,BIO-00147,4,Nos,1542229
SI-DEMO-000059,Sales Invoice,items,BIO-00446,23,Nos,117797
SI-DEMO-000060,Sales Invoice,items,BIO-00349,3,Nos,1977191
SI-DEMO-000060,Sales Invoice,items,SVC-GEN,49,Kg,496
SI-DEMO-000061,Sales Invoice,items,BIO-00193,9,Nos,2240901
SI-DEMO-000062,Sales Invoice,items,BIO-00155,5,Nos,467299
SI-DEMO-000063,Sales Invoice,items,BIO-00221,2,Nos,466018
SI-DEMO-000063,Sales Invoice,items,BIO-00103,8,Nos,450974
SI-DEMO-000064,Sales Invoice,items,BIO-00342,10,Nos,1082054
SI-DEMO-000065,Sales Invoice,items,BIO-00400,7,Nos,2982809
SI-DEMO-000065,Sales Invoice,items,BIO-00326,8,Nos,177057
SI-DEMO-000066,Sales Invoice,items,BIO-00148,7,Nos,1657202
SI-DEMO-000067,Sales Invoice,items,BIO-00143,4,Nos,374906
SI-DEMO-000068,Sales Invoice,items,BIO-00420,2,Nos,7571
SI-DEMO-000069,Sales Invoice,items,BIO-00451,1,Nos,455986
SI-DEMO-000070,Sales Invoice,items,BIO-00121,5,Nos,1152993
SI-DEMO-000070,Sales Invoice,items,BIO-00225,50,Nos,183102
SI-DEMO-000071,Sales Invoice,items,BIO-00070,9,Nos,2798519
SI-DEMO-000072,Sales Invoice,items,BIO-00357,8,Nos,2434654
SI-DEMO-000073,Sales Invoice,items,BIO-00062,10,Nos,1892993
SI-DEMO-000073,Sales Invoice,items,BIO-00174,16,Nos,458448
SI-DEMO-000074,Sales Invoice,items,BIO-00357,5,Nos,900551
SI-DEMO-000075,Sales Invoice,items,SVC-TRN-008,10,Nos,440
SI-DEMO-000075,Sales Invoice,items,BIO-00297,39,Nos,25476
SI-DEMO-000076,Sales Invoice,items,SVC-SHRP,1251,Kg,576
SI-DEMO-000076,Sales Invoice,items,BIO-00342,6,Nos,284605
SI-DEMO-000077,Sales Invoice,items,BIO-00126,7,Nos,364702
SI-DEMO-000078,Sales Invoice,items,BIO-00438,5,Nos,1618969
SI-DEMO-000078,Sales Invoice,items,BIO-00387,46,Nos,125599
SI-DEMO-000079,Sales Invoice,items,BIO-00206,6,Nos,17222
SI-DEMO-000080,Sales Invoice,items,BIO-00171,9,Nos,91316
SI-DEMO-000080,Sales Invoice,items,BIO-00221,8,Nos,235574
SI-DEMO-000081,Sales Invoice,items,BIO-00255,7,Nos,2621604
SI-DEMO-000082,Sales Invoice,items,BIO-00338,1,Nos,685387
SI-DEMO-000083,Sales Invoice,items,BIO-00399,5,Nos,2097076
SI-DEMO-000084,Sales Invoice,items,BIO-00393,4,Nos,2240493
SI-DEMO-000085,Sales Invoice,items,BIO-00403,7,Nos,1827939
SI-DEMO-000086,Sales Invoice,items,BIO-00318,5,Nos,1035815
SI-DEMO-000087,Sales Invoice,items,BIO-00422,9,Nos,1726023
SI-DEMO-000088,Sales Invoice,items,BIO-00269,9,Nos,2637873
SI-DEMO-000089,Sales Invoice,items,BIO-00059,10,Nos,344423
SI-DEMO-000090,Sales Invoice,items,BIO-00280,9,Nos,2636882
SI-DEMO-000090,Sales Invoice,items,BIO-00407,9,Nos,223204
SI-DEMO-000091,Sales Invoice,items,BIO-00196,9,Nos,1411839
SI-DEMO-000092,Sales Invoice,items,BIO-00113,8,Nos,1849971
SI-DEMO-000093,Sales Invoice,items,BIO-00308,8,Nos,128618
SI-DEMO-000094,Sales Invoice,items,BIO-00093,7,Nos,1109185
SI-DEMO-000095,Sales Invoice,items,BIO-00159,3,Nos,2766753
SI-DEMO-000096,Sales Invoice,items,BIO-00239,8,Nos,1328582
SI-DEMO-000096,Sales Invoice,items,BIO-00202,20,Nos,135544
SI-DEMO-000097,Sales Invoice,items,BIO-00437,10,Nos,1852347
SI-DEMO-000098,Sales Invoice,items,BIO-00333,2,Nos,1644744
SI-DEMO-000098,Sales Invoice,items,BIO-00344,5,Nos,10352
SI-DEMO-000099,Sales Invoice,items,BIO-00383,1,Nos,2469030
SI-DEMO-000099,Sales Invoice,items,BIO-00359,20,Nos,158653
SI-DEMO-000100,Sales Invoice,items,BIO-00361,3,Nos,1574279
SI-DEMO-000101,Sales Invoice,items,BIO-00155,10,Nos,2318814
SI-DEMO-000102,Sales Invoice,items,BIO-00263,7,Nos,1698236
SI-DEMO-000103,Sales Invoice,items,BIO-00388,5,Nos,641456
SI-DEMO-000104,Sales Invoice,items,BIO-00152,6,Nos,440315
