name,naming_series,customer,transaction_date,delivery_date,company,status
SO-DEMO-000001,SO-.YYYY.-,Dr. Essa Lab 116,2023-03-01,2023-03-06,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000002,SO-.YYYY.-,Sharif Medical Teaching Hospital 62,2023-03-01,2023-03-03,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000003,SO-.YYYY.-,City Care Tertiary Hospital 02,2023-03-01,2023-03-10,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000004,SO-.YYYY.-,Shaukat Khanum Teaching Hospital 72,2023-03-02,2023-03-04,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000005,SO-.YYYY.-,Sharif Medical Tertiary Hospital 43,2023-03-02,2023-03-04,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000006,SO-.YYYY.-,Noor Specialized Hospital 51,2023-03-02,2023-03-07,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000007,SO-.YYYY.-,Allied Lab,2023-03-03,2023-03-15,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000008,SO-.YYYY.-,One Health Lab,2023-03-03,2023-03-05,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000009,SO-.YYYY.-,Children District Hospital 55,2023-03-04,2023-03-07,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000010,SO-.YYYY.-,Islamabad Diagnostics,2023-03-04,2023-03-13,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000011,SO-.YYYY.-,Allied Lab 114,2023-03-05,2023-03-11,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000012,SO-.YYYY.-,Lady Willingdon Tertiary Hospital 06,2023-03-05,2023-03-10,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000013,SO-.YYYY.-,Services Teaching Hospital 33,2023-03-06,2023-03-08,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000014,SO-.YYYY.-,Doctors Teaching Hospital 35,2023-03-06,2023-03-08,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000015,SO-.YYYY.-,Gulab Devi Tertiary Hospital 13,2023-03-07,2023-03-17,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000016,SO-.YYYY.-,Prime Tertiary Hospital 24,2023-03-07,2023-03-13,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000017,SO-.YYYY.-,Chughtai Tertiary Hospital 57,2023-03-07,2023-03-20,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000018,SO-.YYYY.-,National Private Hospital 21,2023-03-07,2023-03-20,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000019,SO-.YYYY.-,Fatima Memorial Tertiary Hospital 09,2023-03-07,2023-03-21,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000020,SO-.YYYY.-,Gulab Devi Specialized Hospital 22,2023-03-07,2023-03-14,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000021,SO-.YYYY.-,Punjab Diagnostic Center 113,2023-03-08,2023-03-22,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000022,SO-.YYYY.-,Sheikh Zayed General Hospital 39,2023-03-08,2023-03-15,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000023,SO-.YYYY.-,Sir Ganga Ram Tertiary Hospital 75,2023-03-08,2023-03-22,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000024,SO-.YYYY.-,Punjab Environmental Protection Agency,2023-03-09,2023-03-15,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000025,SO-.YYYY.-,Punjab Health Department,2023-03-09,2023-03-11,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000026,SO-.YYYY.-,One Health Lab,2023-03-09,2023-03-16,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000027,SO-.YYYY.-,Ghurki Trust Private Hospital 61,2023-03-10,2023-03-18,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000028,SO-.YYYY.-,Gulab Devi Tertiary Hospital 13,2023-03-10,2023-03-17,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000029,SO-.YYYY.-,Punjab Health Department,2023-03-11,2023-03-13,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000030,SO-.YYYY.-,Rehman Diagnostics 118,2023-03-12,2023-03-23,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000031,SO-.YYYY.-,Ghurki Trust Specialized Hospital 48,2023-03-13,2023-03-17,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000032,SO-.YYYY.-,Fatima Memorial District Hospital 65,2023-03-13,2023-03-23,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000033,SO-.YYYY.-,Jinnah Tertiary Hospital 67,2023-03-14,2023-03-26,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000034,SO-.YYYY.-,Shaukat Khanum Teaching Hospital 50,2023-03-15,2023-03-23,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
