parent,parenttype,parentfield,item_code,qty,uom,warehouse,rate
SO-DEMO-000001,Sales Order,items,SVC-JAN-004,1941,Nos,,392
SO-DEMO-000001,Sales Order,items,PPE-028,3,Nos,Central Warehouse - ENXI,2401884
SO-DEMO-000002,Sales Order,items,SVC-JAN-002,1158,Nos,,321
SO-DEMO-000003,Sales Order,items,SVC-TRN-007,1867,Nos,,488
SO-DEMO-000003,Sales Order,items,CNT-020,42,Nos,Central Warehouse - ENXI,2378
SO-DEMO-000004,Sales Order,items,SVC-JAN-005,1964,Nos,,515
SO-DEMO-000005,Sales Order,items,SVC-INF,1416,Kg,,431
SO-DEMO-000005,Sales Order,items,CNT-014,19,Nos,Central Warehouse - ENXI,870
SO-DEMO-000006,Sales Order,items,SVC-CHEM,654,Kg,,621
SO-DEMO-000006,Sales Order,items,CNT-019,19,Nos,Central Warehouse - ENXI,1601
SO-DEMO-000006,Sales Order,items,BIO-00058,3,Nos,Central Warehouse - ENXI,1006324
SO-DEMO-000007,Sales Order,items,SVC-TRN-007,365,Nos,,214
SO-DEMO-000008,Sales Order,items,SVC-JAN-005,121,Nos,,695
SO-DEMO-000008,Sales Order,items,CNT-018,11,Nos,Central Warehouse - ENXI,1194
SO-DEMO-000009,Sales Order,items,SVC-TRN-007,272,Nos,,595
SO-DEMO-000009,Sales Order,items,CNT-014,22,Nos,Central Warehouse - ENXI,4761
SO-DEMO-000010,Sales Order,items,SVC-TRN-011,1402,Nos,,730
SO-DEMO-000010,Sales Order,items,CNT-019,32,Nos,Central Warehouse - ENXI,1910
SO-DEMO-000011,Sales Order,items,SVC-JAN-002,1291,Nos,,369
SO-DEMO-000012,Sales Order,items,SVC-JAN-003,819,Nos,,698
SO-DEMO-000012,Sales Order,items,SPR-049,1,Nos,Central Warehouse - ENXI,3491190
SO-DEMO-000013,Sales Order,items,SVC-TRN-011,1994,Nos,,265
SO-DEMO-000014,Sales Order,items,SVC-GEN,1153,Kg,,387
SO-DEMO-000015,Sales Order,items,SVC-TRN-011,1861,Nos,,225
SO-DEMO-000015,Sales Order,items,CNT-020,10,Nos,Central Warehouse - ENXI,3278
SO-DEMO-000016,Sales Order,items,SVC-JAN-004,1174,Nos,,289
SO-DEMO-000016,Sales Order,items,SPR-043,1,Nos,Central Warehouse - ENXI,735996
SO-DEMO-000017,Sales Order,items,SVC-TRN-010,352,Nos,,789
SO-DEMO-000018,Sales Order,items,SVC-TRN-008,387,Nos,,432
SO-DEMO-000019,Sales Order,items,SVC-INF,1637,Kg,,174
SO-DEMO-000020,Sales Order,items,SVC-SHRP,219,Kg,,344
SO-DEMO-000021,Sales Order,items,SVC-JAN-005,167,Nos,,795
SO-DEMO-000022,Sales Order,items,SVC-JAN-006,1426,Nos,,267
SO-DEMO-000023,Sales Order,items,SVC-JAN-002,376,Nos,,237
SO-DEMO-000024,Sales Order,items,SVC-TRN-010,1914,Nos,,228
SO-DEMO-000024,Sales Order,items,CNT-016,37,Nos,Central Warehouse - ENXI,847
SO-DEMO-000025,Sales Order,items,SVC-TRN-007,1007,Nos,,176
SO-DEMO-000025,Sales Order,items,CNT-012,5,Nos,Central Warehouse - ENXI,2640
SO-DEMO-000026,Sales Order,items,SVC-SHRP,790,Kg,,678
SO-DEMO-000026,Sales Order,items,CNT-014,30,Nos,Central Warehouse - ENXI,3594
SO-DEMO-000027,Sales Order,items,SVC-JAN-002,1097,Nos,,383
SO-DEMO-000028,Sales Order,items,SVC-GEN,1657,Kg,,740
SO-DEMO-000028,Sales Order,items,BIO-00057,1,Nos,Central Warehouse - ENXI,2771510
SO-DEMO-000029,Sales Order,items,SVC-CYTO,542,Kg,,570
SO-DEMO-000030,Sales Order,items,SVC-INF,1631,Kg,,789
SO-DEMO-000031,Sales Order,items,SVC-PATH,598,Kg,,198
SO-DEMO-000032,Sales Order,items,SVC-TRN-011,1924,Nos,,691
SO-DEMO-000033,Sales Order,items,SVC-TRN-011,1992,Nos,,635
SO-DEMO-000034,Sales Order,items,SVC-TRN-010,1376,Nos,,215
SO-DEMO-000035,Sales Order,items,SVC-JAN-003,1536,Nos,,324
SO-DEMO-000036,Sales Order,items,SVC-GEN,92,Kg,,398
SO-DEMO-000037,Sales Order,items,SVC-TRN-007,488,Nos,,256
SO-DEMO-000038,Sales Order,items,SVC-JAN-006,647,Nos,,796
SO-DEMO-000039,Sales Order,items,SVC-PATH,432,Kg,,562
SO-DEMO-000040,Sales Order,items,SVC-GEN,651,Kg,,346
SO-DEMO-000041,Sales Order,items,SVC-TRN-009,822,Nos,,465
SO-DEMO-000042,Sales Order,items,SVC-TRN-010,1084,Nos,,173
SO-DEMO-000043,Sales Order,items,SVC-TRN-010,1112,Nos,,332
SO-DEMO-000044,Sales Order,items,SVC-PATH,1429,Kg,,498
SO-DEMO-000044,Sales Order,items,CNT-012,23,Nos,Central Warehouse - ENXI,2456
SO-DEMO-000045,Sales Order,items,SVC-CYTO,1746,Kg,,688
SO-DEMO-000045,Sales Order,items,CNT-017,50,Nos,Central Warehouse - ENXI,1500
SO-DEMO-000046,Sales Order,items,SVC-PHRM,234,Kg,,246
SO-DEMO-000047,Sales Order,items,SVC-TRN-011,148,Nos,,771
SO-DEMO-000048,Sales Order,items,SVC-TRN-009,493,Nos,,287
SO-DEMO-000049,Sales Order,items,SVC-PATH,1531,Kg,,228
SO-DEMO-000050,Sales Order,items,SVC-JAN-006,245,Nos,,622
SO-DEMO-000051,Sales Order,items,SVC-CYTO,1730,Kg,,177
SO-DEMO-000051,Sales Order,items,CNT-018,2,Nos,Central Warehouse - ENXI,3415823
SO-DEMO-000052,Sales Order,items,SVC-CHEM,1765,Kg,,761
SO-DEMO-000052,Sales Order,items,BIO-00056,2,Nos,Central Warehouse - ENXI,1550276
SO-DEMO-000053,Sales Order,items,SVC-JAN-002,1543,Nos,,440
SO-DEMO-000054,Sales Order,items,SVC-CYTO,852,Kg,,526
SO-DEMO-000055,Sales Order,items,SVC-SHRP,1705,Kg,,276
SO-DEMO-000056,Sales Order,items,SVC-JAN-003,512,Nos,,386
SO-DEMO-000057,Sales Order,items,SVC-TRN-007,448,Nos,,324
SO-DEMO-000058,Sales Order,items,SVC-TRN-010,352,Nos,,225
SO-DEMO-000058,Sales Order,items,CNT-016,26,Nos,Central Warehouse - ENXI,3266
SO-DEMO-000059,Sales Order,items,SVC-JAN-003,316,Nos,,682
SO-DEMO-000060,Sales Order,items,SVC-JAN-004,536,Nos,,654
SO-DEMO-000061,Sales Order,items,SVC-PHRM,1578,Kg,,281
SO-DEMO-000062,Sales Order,items,SVC-TRN-010,1862,Nos,,358
SO-DEMO-000063,Sales Order,items,SVC-JAN-006,365,Nos,,616
SO-DEMO-000063,Sales Order,items,CNT-015,11,Nos,Central Warehouse - ENXI,1937
SO-DEMO-000064,Sales Order,items,SVC-PATH,1724,Kg,,590
SO-DEMO-000065,Sales Order,items,SVC-TRN-007,1612,Nos,,724
SO-DEMO-000066,Sales Order,items,SVC-JAN-003,1585,Nos,,191
SO-DEMO-000066,Sales Order,items,CNT-016,40,Nos,Central Warehouse - ENXI,540
SO-DEMO-000067,Sales Order,items,SVC-JAN-004,661,Nos,,393
SO-DEMO-000068,Sales Order,items,SVC-CYTO,528,Kg,,533
SO-DEMO-000069,Sales Order,items,SVC-TRN-008,1465,Nos,,168
SO-DEMO-000069,Sales Order,items,CLN-035,3,Nos,Central Warehouse - ENXI,2586234
SO-DEMO-000070,Sales Order,items,SVC-JAN-003,1225,Nos,,336
SO-DEMO-000071,Sales Order,items,SVC-GEN,875,Kg,,762
SO-DEMO-000072,Sales Order,items,SVC-JAN-006,1830,Nos,,453
SO-DEMO-000073,Sales Order,items,SVC-JAN-003,347,Nos,,698
SO-DEMO-000074,Sales Order,items,SVC-PHRM,652,Kg,,171
SO-DEMO-000075,Sales Order,items,SVC-PHRM,428,Kg,,378
SO-DEMO-000075,Sales Order,items,CNT-014,32,Nos,Central Warehouse - ENXI,3811
SO-DEMO-000076,Sales Order,items,SVC-INF,1192,Kg,,634
SO-DEMO-000076,Sales Order,items,CNT-013,34,Nos,Central Warehouse - ENXI,3921
SO-DEMO-000077,Sales Order,items,SVC-GEN,1584,Kg,,371
SO-DEMO-000078,Sales Order,items,SVC-JAN-001,717,Nos,,766
SO-DEMO-000079,Sales Order,items,SVC-INF,1762,Kg,,441
SO-DEMO-000080,Sales Order,items,SVC-CHEM,1897,Kg,,729
SO-DEMO-000081,Sales Order,items,SVC-JAN-005,1165,Nos,,300
SO-DEMO-000082,Sales Order,items,SVC-JAN-005,883,Nos,,795
SO-DEMO-000082,Sales Order,items,CNT-015,5,Nos,Central Warehouse - ENXI,4447
SO-DEMO-000083,Sales Order,items,SVC-CYTO,1703,Kg,,691
SO-DEMO-000084,Sales Order,items,SVC-JAN-002,866,Nos,,704
